Adress;Postnr;Postort;Nytt Postnr;Ny Postort
Haddäng 587;82077;GNARP;82962;GNARP
Kårsta 212;86040;INDAL;85597;INDAL
Medskogsvägen 30;85590;SUNDSVALL;85358;SUNDSVALL
Lönnånger 29;82075;HARMÅNGER;82995;HARMÅNGER
Ygsbovägen 1;82041;FÄRILA;82761;FÄRILA
Skästravägen 14;82041;FÄRILA;82762;FÄRILA
Kullsvägen 22;34032;GRIMSLÖV;34254;GRIMSLÖV
Västerbyn 704;77071;STJÄRNSUND;77674;STJÄRNSUND
Graveboda 981A;28070;LÖNSBODA;28393;LÖNSBODA
Kråksmåla 219;38044;ALSTERBRO;38274;ALSTERBRO
Norrgatan 15;57001;RÖRVIK;57693;RÖRVIK
Gettorget 107;86013;STÖDE;86496;STÖDE
Engelska vägen 30;29150;KRISTIANSTAD;29158;KRISTIANSTAD
Storgatan 33B;93070;MALÅ;93931;MALÅ
Fågelsjö Bönhusvägen 4;82050;LOS;82770;LOS
Ängeslundsvägen 5;82010;ARBRÅ;82161;ARBRÅ
Öjevägen 42;82040;JÄRVSÖ;82750;JÄRVSÖ
Öjabyvägen 21D;35250;VÄXJÖ;35274;VÄXJÖ
Hänsätter 2221;82011;VALLSTA;82168;VALLSTA
Ekängsvägen 12;57003;VRIGSTAD;57697;VRIGSTAD
Böckelshöjden 615;66060;MOLKOM;65597;MOLKOM
Polstjärnegatan 38A;90753;UMEÅ;90752;UMEÅ
Kyrkvägen 3;66060;MOLKOM;65560;MOLKOM
Grimskär 703;82020;LJUSNE;82676;LJUSNE
Mikje 113;82065;FORSA;82461;FORSA
Fröderyd norregård 20;57012;LANDSBRO;57473;LANDSBRO
Stråsjö 130;82041;FÄRILA;82763;FÄRILA
Hjälshammar Assaregård 4;33193;VÄRNAMO;33144;VÄRNAMO
Boställsgatan 69;28020;BJÄRNUM;28261;BJÄRNUM
Lehultsvägen 17;28022;VITTSJÖ;28267;VITTSJÖ
Stationsvägen 3;82077;GNARP;82960;GNARP
Vetlandavägen 45;57012;LANDSBRO;57473;LANDSBRO
Cordvägen 40;66050;VÅLBERG;66450;VÅLBERG
Björsjö 222;82042;KORSKROGEN;82772;KORSKROGEN
Djupviken 478;82020;LJUSNE;82676;LJUSNE
Fröatorp 2264;28070;LÖNSBODA;28394;LÖNSBODA
Kolonivägen 15;28020;BJÄRNUM;28262;BJÄRNUM
Frubacka 227;66050;VÅLBERG;66494;VÅLBERG
Dungevägen 9;57002;STOCKARYD;57694;STOCKARYD
Kitte 150;82070;BERGSJÖ;82951;BERGSJÖ
Nydala Säteri 2;57003;VRIGSTAD;57697;VRIGSTAD
Säter 161;86025;KOVLAND;85592;KOVLAND
Sandvik 3;36024;LINNERYD;36297;LINNERYD
Snickarevägen 9;28020;BJÄRNUM;28262;BJÄRNUM
Kilarna 2029;66291;ÅMÅL;66292;ÅMÅL
Vallgatan 6;57012;LANDSBRO;57472;LANDSBRO
Sjöfallsvägen 8E;54066;SJÖTORP;54266;SJÖTORP
Tångvägen 15;29062;VILSHULT;29395;VILSHULT
Bergvägen 2;82076;JÄTTENDAL;82996;JÄTTENDAL
Svanshult 945;28070;LÖNSBODA;28393;LÖNSBODA
Ekvägen 1A;86030;SÖRBERGE;86141;SÖRBERGE
Alpstigen 4;66052;EDSVALLA;66493;EDSVALLA
Norrbäck 255;82078;HASSELA;82998;HASSELA
Rommelsjö 32;56030;TENHULT;56162;TENHULT
Kvarsätt 145;85590;SUNDSVALL;85591;SUNDSVALL
Rundelsvägen 28C;57012;LANDSBRO;57473;LANDSBRO
Skogsgatan 12;66052;EDSVALLA;66493;EDSVALLA
Stugbyvägen 11;82046;RAMSJÖ;82776;RAMSJÖ
Sävsjövägen 19;57003;VRIGSTAD;57696;VRIGSTAD
Sugande 107;38040;ORREFORS;38272;ORREFORS
Hårsjövägen 23;28022;VITTSJÖ;28266;VITTSJÖ
Hårte Orrvägen 13;82076;JÄTTENDAL;82996;JÄTTENDAL
Granvägen 14;28022;VITTSJÖ;28266;VITTSJÖ
Nygatan 82;82020;LJUSNE;82675;LJUSNE
Stenebyvägen 15;66010;DALS LÅNGED;66694;DALS LÅNGED
Norra Mellby 1147;28010;SÖSDALA;28273;SÖSDALA
Backegatan 15;28040;SKÅNES FAGERHULT;28673;SKÅNES FAGERHULT
Stugutjärn 8;82046;RAMSJÖ;82776;RAMSJÖ
Fegelstorpsvägen 1-11;29038;VILLANDS VÅNGA;29198;VILLANDS VÅNGA
Långbacka 232;82060;DELSBO;82473;DELSBO
Kolsta 175;85590;SUNDSVALL;85359;SUNDSVALL
Västerå 963;86035;SÖRÅKER;86195;SÖRÅKER
Musterigatan 1;86030;SÖRBERGE;86142;SÖRBERGE
Södra vägen 16;82077;GNARP;82960;GNARP
Lilla Dalsjövägen 19;28020;BJÄRNUM;28261;BJÄRNUM
Kjällängsgatan 4;28020;BJÄRNUM;28263;BJÄRNUM
Årskogen 11;82077;GNARP;82962;GNARP
Badhusgatan 29;28020;BJÄRNUM;28262;BJÄRNUM
Simon Gates väg 6;38040;ORREFORS;38271;ORREFORS
Smittegårdsvägen 2;38052;TIMMERNABBEN;38471;TIMMERNABBEN
Ritaregränd 2D;35250;VÄXJÖ;35258;VÄXJÖ
Bondegatan 9B;93070;MALÅ;93932;MALÅ
Hasteröd 248;46391;LILLA EDET;46392;LILLA EDET
Alvägen 6;86030;SÖRBERGE;86141;SÖRBERGE
Lilla Mölleröd 1591;28020;BJÄRNUM;28265;BJÄRNUM
Kölaby Gärdet 116;52026;TRÄDET;52378;TRÄDET
Rullbo Jättholmen 10;82050;LOS;82770;LOS
Rösvägen 4;36072;KLAVRESTRÖM;36445;KLAVRESTRÖM
Loshultsvägen 44;28070;LÖNSBODA;28371;LÖNSBODA
Vedmyra 136;82062;BJURÅKER;82478;BJURÅKER
Medskogsbron 133;85590;SUNDSVALL;85358;SUNDSVALL
Badhusgatan 5;28020;BJÄRNUM;28262;BJÄRNUM
Korrö 3;36024;LINNERYD;36297;LINNERYD
Bruddalen 163;86025;KOVLAND;85592;KOVLAND
Ljunggatan 4;28020;BJÄRNUM;28262;BJÄRNUM
Boställsgatan 39;28020;BJÄRNUM;28261;BJÄRNUM
Tobias väg 3;31198;GLOMMEN;31154;GLOMMEN
Flemmingeland 107;38040;ORREFORS;38272;ORREFORS
Änga 24;82062;BJURÅKER;82478;BJURÅKER
Furulundsgatan 8D;28070;LÖNSBODA;28371;LÖNSBODA
Gruvvägen 40;93072;ADAK;93992;ADAK
Tvärreds Högagärde 106;52011;VEGBY;52362;VEGBY
Enetsvägen 46;66010;DALS LÅNGED;66695;DALS LÅNGED
Rödmyra Långhansvägen 8;82040;JÄRVSÖ;82753;JÄRVSÖ
Bästdal 222;82064;NÄSVIKEN;82467;NÄSVIKEN
Bjåsta 343;82070;BERGSJÖ;82951;BERGSJÖ
Nöbbele Bergsgården;33193;VÄRNAMO;33144;VÄRNAMO
Utterstigen 6;66060;MOLKOM;65560;MOLKOM
Rösåsen 134;86025;KOVLAND;85592;KOVLAND
Skånegatan 51;43230;VARBERG;43239;VARBERG
Västerbyn Daniels hage 516;77071;STJÄRNSUND;77674;STJÄRNSUND
Sillre 144;86041;LIDEN;85599;LIDEN
Sjöändan Inlandsvägen 553;82050;LOS;82770;LOS
Kyrkhultsvägen 75;28070;LÖNSBODA;28394;LÖNSBODA
Flaterud Hökån 3;66010;DALS LÅNGED;66695;DALS LÅNGED
Smedsliden 5;77070;LÅNGSHYTTAN;77671;LÅNGSHYTTAN
Grundläggaregatan 9;86032;FAGERVIK;86145;FAGERVIK
Länsmansvägen 22;28022;VITTSJÖ;28266;VITTSJÖ
Bokelundsgatan 16;28070;LÖNSBODA;28371;LÖNSBODA
Sagovägen 51B;90752;UMEÅ;90754;UMEÅ
Sösdala 2084;28010;SÖSDALA;28273;SÖSDALA
Karsjö Bäckvägen 5;82040;JÄRVSÖ;82752;JÄRVSÖ
Norrbränningen 348;82020;LJUSNE;82677;LJUSNE
Hagnarp 2407;28023;HÄSTVEDA;28276;HÄSTVEDA
Hässlevägen 16;37043;STURKÖ;37361;STURKÖ
Smedvägen 6;37043;STURKÖ;37361;STURKÖ
Näbbebodavägen 344-20;29062;VILSHULT;29395;VILSHULT
Sparrarp 2429;28023;HÄSTVEDA;28276;HÄSTVEDA
Gästgivaregatan 19;57003;VRIGSTAD;57696;VRIGSTAD
Måstad 62;37033;TVING;37340;TVING
Byn 737;82077;GNARP;82961;GNARP
Burtorpsvägen 7;30230;HALMSTAD;30228;HALMSTAD
Bangårdsvägen 22;23592;VELLINGE;23543;VELLINGE
Algustad 130;66050;VÅLBERG;66494;VÅLBERG
Myrvägen 8;82062;BJURÅKER;82478;BJURÅKER
Los kyrkbyväg 5;82050;LOS;82770;LOS
Staversvadsvägen 381;29038;VILLANDS VÅNGA;29198;VILLANDS VÅNGA
Linvägen 6;86035;SÖRÅKER;86194;SÖRÅKER
Bråstorp 304;37033;TVING;37339;TVING
Hamre 17;82064;NÄSVIKEN;82466;NÄSVIKEN
Marenslingan 9;18592;VAXHOLM;13492;TYNNINGÖ
Bryngelsrud 319;66052;EDSVALLA;66493;EDSVALLA
Nolby 564;66057;VÄSE;65595;VÄSE
Jennys väg 4B;36053;SKRUV;36594;SKRUV
Torsboda 111;86035;SÖRÅKER;86195;SÖRÅKER
Brobyvägen 8B;57012;LANDSBRO;57472;LANDSBRO
Granhult 4;36071;NORRHULT;36444;NORRHULT
Mångbyn 17;93010;LÖVÅNGER;93293;LÖVÅNGER
Munkagårdsvägen 12;57013;MYRESJÖ;57471;MYRESJÖ
Kyrkbyvägen 23;82078;HASSELA;82998;HASSELA
Skålvall 11;82041;FÄRILA;82761;FÄRILA
Ve 308;66057;VÄSE;65596;VÄSE
Nygatan 10;82020;LJUSNE;82675;LJUSNE
Slånvägen 5;66050;VÅLBERG;66451;VÅLBERG
Dragvägen 8;86030;SÖRBERGE;86141;SÖRBERGE
Lundholmen Fällan 2;57003;VRIGSTAD;57697;VRIGSTAD
Övre Terrassgatan 34;66011;BILLINGSFORS;66641;BILLINGSFORS
Hjälshammar 24;33193;VÄRNAMO;33144;VÄRNAMO
Maglö 1409B;28010;SÖSDALA;28273;SÖSDALA
Ramdalen 18;66010;DALS LÅNGED;66695;DALS LÅNGED
Hökhult 401;38053;FLISERYD;38473;FLISERYD
Västra vägen 14;56029;TENHULT;56160;TENHULT
Centrumvägen 148;86035;SÖRÅKER;86194;SÖRÅKER
Tisselskogs stom 12;66010;DALS LÅNGED;66694;DALS LÅNGED
Katrinelundsvägen 25;35250;VÄXJÖ;35273;VÄXJÖ
Holmgatan 5;77070;LÅNGSHYTTAN;77672;LÅNGSHYTTAN
Idrottsvägen 15;37043;STURKÖ;37362;STURKÖ
Glimmervägen 1;47196;BLEKET;47150;BLEKET
Nils Jensens väg 12;29150;KRISTIANSTAD;29158;KRISTIANSTAD
Södergårdsvägen 8;56034;VISINGSÖ;56394;VISINGSÖ
Örtenästorp 317;66060;MOLKOM;65598;MOLKOM
Nordsjö Fallbacksvägen 41A;82040;JÄRVSÖ;82754;JÄRVSÖ
Parkvägen 3A;56030;TENHULT;56162;TENHULT
Stigevägen 3;86040;INDAL;85597;INDAL
Näsumsvägen 161;29038;VILLANDS VÅNGA;29198;VILLANDS VÅNGA
Tallvägen 3;28022;VITTSJÖ;28266;VITTSJÖ
Vingavägen 77;35263;VÄXJÖ;35265;VÄXJÖ
Bocklareboda 116;38040;ORREFORS;38272;ORREFORS
Nybo 524;82060;DELSBO;82474;DELSBO
Skrytvägen 42;82041;FÄRILA;82762;FÄRILA
Yckelsbo Strandväg 3;82040;JÄRVSÖ;82753;JÄRVSÖ
Evedalsvägen 6;56029;TENHULT;56161;TENHULT
Vetlandavägen 3C;57010;KORSBERGA;57475;KORSBERGA
Fiskvik 207;82070;BERGSJÖ;82953;BERGSJÖ
Fjärdingsmåla Mokulla;36076;ÄLGHULT;36495;ÄLGHULT
Rosenströmsvägen 17;38044;ALSTERBRO;38274;ALSTERBRO
Kallbäck 26;82078;HASSELA;82998;HASSELA
Friggesundsvägen 8E;82062;BJURÅKER;82478;BJURÅKER
Linnevik 3;57001;RÖRVIK;57693;RÖRVIK
Ve 466;66057;VÄSE;65596;VÄSE
Tjärna 416;82062;BJURÅKER;82478;BJURÅKER
Kyrkogatan 2B;43278;TVÅÅKER;43279;TVÅÅKER
Byn 634;82077;GNARP;82961;GNARP
Norromängsvägen 32;86013;STÖDE;86496;STÖDE
Sandslättsvägen 9;38044;ALSTERBRO;38274;ALSTERBRO
Skånegatan 272;43230;VARBERG;43239;VARBERG
Bissjön 47;93010;LÖVÅNGER;93293;LÖVÅNGER
Åbuen 849;28070;LÖNSBODA;28393;LÖNSBODA
Undersvik 8878;82011;VALLSTA;82167;VALLSTA
Bockaberg 4;57010;KORSBERGA;57475;KORSBERGA
Klintvägen 31;82041;FÄRILA;82762;FÄRILA
Vekänget 15;82042;KORSKROGEN;82772;KORSKROGEN
Brunträsk 5;93070;MALÅ;93995;MALÅ
Tumlehedsvägen 97;42344;TORSLANDA;42343;TORSLANDA
Bildhuggarevägen 111;30271;HALMSTAD;30277;HALMSTAD
Östergrängsjö 151A;82077;GNARP;82961;GNARP
Maltkvarn 4;37043;STURKÖ;37362;STURKÖ
Segoltan Olsudden 12;66040;SEGMON;66496;SEGMON
Stationsgatan 11G;82040;JÄRVSÖ;82751;JÄRVSÖ
Sunnansjövägen 10;82060;DELSBO;82470;DELSBO
Fagerslätt 18;56031;TENHULT;56163;TENHULT
Bråte 529;66050;VÅLBERG;66494;VÅLBERG
Södra Edevägen 20;82040;JÄRVSÖ;82753;JÄRVSÖ
Hiegöl Åsen 1;56031;TENHULT;56163;TENHULT
Selet 23;93010;LÖVÅNGER;93261;LÖVÅNGER
Hällingen 145;86041;LIDEN;85598;LIDEN
Gällserud 509;66060;MOLKOM;65597;MOLKOM
Appelhester 4;57015;HOLSBYBRUNN;57453;HOLSBYBRUNN
Granstigen 10;93070;MALÅ;93931;MALÅ
Stensjö 241;83021;TANDSBYN;83499;TANDSBYN
Glimmergatan 1;43238;VARBERG;43256;VARBERG
Sandhamnsvägen 4;37042;TORHAMN;37371;TORHAMN
Forbondevägen 2;82060;DELSBO;82470;DELSBO
Langsbo 147;82078;HASSELA;82998;HASSELA
Arviken 836;66060;MOLKOM;65597;MOLKOM
Kilbovägen 30;82041;FÄRILA;82762;FÄRILA
Kärleksstigen 25;66060;MOLKOM;65560;MOLKOM
Norra Marmaberget 11;82026;MARMAVERKEN;82666;MARMAVERKEN
Sundets väg 26;37044;TJURKÖ;37363;TJURKÖ
Överedevägen 13;86013;STÖDE;86496;STÖDE
Berglocksvägen 15;82065;FORSA;82460;FORSA
Noret 16;93010;LÖVÅNGER;93294;LÖVÅNGER
Linds väg 2;37043;STURKÖ;37361;STURKÖ
Finskevägen 3;37044;TJURKÖ;37363;TJURKÖ
Ekelsjö Herrafällan 1;57021;MALMBÄCK;57169;MALMBÄCK
Norrvåga 26;82040;JÄRVSÖ;82753;JÄRVSÖ
Vannsättervägen 12;82023;BERGVIK;82667;BERGVIK
Odensjö Lunden 1;34032;GRIMSLÖV;34255;GRIMSLÖV
Skånegatan 175;43230;VARBERG;43239;VARBERG
Östra Kåsjö 14;82040;JÄRVSÖ;82754;JÄRVSÖ
Dungevägen 6;57002;STOCKARYD;57694;STOCKARYD
Flästa Öjungen 6170;82010;ARBRÅ;82163;ARBRÅ
Bergstupsvägen 26;18592;VAXHOLM;13492;TYNNINGÖ
Hörngrensvägen 18;31138;FALKENBERG;31178;FALKENBERG
Marmorgatan 94;43238;VARBERG;43256;VARBERG
Hamravägen 148;82051;HAMRA;82771;HAMRA
Södra Storgatan 10;28070;LÖNSBODA;28371;LÖNSBODA
Flästa 5952;82010;ARBRÅ;82163;ARBRÅ
Fullerö strand 53;72591;VÄSTERÅS;72590;VÄSTERÅS
Syrénvägen 5;57002;STOCKARYD;57695;STOCKARYD
Slagnäsvägen 37;93072;ADAK;93992;ADAK
Ekenabbsvägen 10;37043;STURKÖ;37361;STURKÖ
Grönvik Stinsö 1;57001;RÖRVIK;57693;RÖRVIK
Karl Perssons väg 11;28022;VITTSJÖ;28266;VITTSJÖ
Näsvägen 21;82046;RAMSJÖ;82776;RAMSJÖ
Vallstabyn 1951;82011;VALLSTA;82167;VALLSTA
Kvarngatan 2;28072;KILLEBERG;28376;KILLEBERG
Stenebyvägen 30;66010;DALS LÅNGED;66695;DALS LÅNGED
Tisselskogs-Liden Hagen;66010;DALS LÅNGED;66694;DALS LÅNGED
Södra Gränsgatan 39;28070;LÖNSBODA;28372;LÖNSBODA
Bäckaby-Ekekull 2;57010;KORSBERGA;57475;KORSBERGA
Medbringarvägen 5;82022;SANDARNE;82672;SANDARNE
Fabriksgatan 2;66040;SEGMON;66496;SEGMON
Gamla Vinnersjövägen 13;81040;HEDESUNDA;81895;HEDESUNDA
Centralgatan 22;57001;RÖRVIK;57693;RÖRVIK
Norrkrånge 121;86035;SÖRÅKER;86195;SÖRÅKER
Skäggsta 165;86035;SÖRÅKER;86194;SÖRÅKER
Lotjärn 159;86013;STÖDE;86495;STÖDE
Kallviksskäret 709;93010;LÖVÅNGER;93293;LÖVÅNGER
Stationsgatan 12D;57016;KVILLSFORS;57455;KVILLSFORS
Trogsta 535;82065;FORSA;82462;FORSA
Hårte Bredstrandsvägen 91;82076;JÄTTENDAL;82996;JÄTTENDAL
Onsäng 914;82692;SÖDERALA;82661;SÖDERALA
Ellervik 225;82023;BERGVIK;82667;BERGVIK
Säms Tostarp 110;52011;VEGBY;52362;VEGBY
Fröderydsvägen 5;57012;LANDSBRO;57473;LANDSBRO
Böle 106;82077;GNARP;82962;GNARP
Rossla 121;82060;DELSBO;82474;DELSBO
Fjärdgatan 1;86032;FAGERVIK;86145;FAGERVIK
Ringvägen 10;57013;MYRESJÖ;57471;MYRESJÖ
Tånggatan 23;82060;DELSBO;82470;DELSBO
Yckelsbo Strandväg 15;82040;JÄRVSÖ;82753;JÄRVSÖ
Knoppe 72;82070;BERGSJÖ;82952;BERGSJÖ
Brunnsvägen 32B;57015;HOLSBYBRUNN;57453;HOLSBYBRUNN
Nora 255;86025;KOVLAND;85592;KOVLAND
Ängsö 354;52011;VEGBY;52362;VEGBY
Avan 411;93010;LÖVÅNGER;93294;LÖVÅNGER
Rydvägen 1376-40;29060;KYRKHULT;29394;KYRKHULT
Nordansjövägen 3;81040;HEDESUNDA;81896;HEDESUNDA
Klacklandet 25;77071;STJÄRNSUND;77674;STJÄRNSUND
Solberga 3;57010;KORSBERGA;57476;KORSBERGA
Villervallavägen 2;82041;FÄRILA;82760;FÄRILA
Bäck 130;86040;INDAL;85597;INDAL
Mörtsjön 80;82078;HASSELA;82998;HASSELA
Österängsvägen 3;72592;VÄSTERÅS;72590;VÄSTERÅS
Kvarsätt 168;85590;SUNDSVALL;85591;SUNDSVALL
Strandviksvägen 28;66057;VÄSE;65595;VÄSE
Karlsfors Kårbölevägen 311;82050;LOS;82770;LOS
Kvillgatan 10;57016;KVILLSFORS;57455;KVILLSFORS
Åstigen 13;82071;ILSBO;82991;ILSBO
Sörgimma 122;82062;BJURÅKER;82478;BJURÅKER
Lillhult Torsmysten 1;54066;SJÖTORP;54266;SJÖTORP
Tegnérvägen 24O;57003;VRIGSTAD;57697;VRIGSTAD
Höghultsvägen 10-4;29062;VILSHULT;29395;VILSHULT
Torggatan 29;82060;DELSBO;82470;DELSBO
Hånick 288;82075;HARMÅNGER;82995;HARMÅNGER
Snickaregränd 10;35250;VÄXJÖ;35258;VÄXJÖ
Hillarp 1258;28020;BJÄRNUM;28265;BJÄRNUM
Pallviken 142;85590;SUNDSVALL;85358;SUNDSVALL
Skomakarvägen 24B;81040;HEDESUNDA;81845;HEDESUNDA
Sandhamn 55;37042;TORHAMN;37371;TORHAMN
Mölntorp 205;66057;VÄSE;65596;VÄSE
Finsjövägen 61;38053;FLISERYD;38473;FLISERYD
Kornvägen 7;34037;TORPSBRUK;34265;TORPSBRUK
Stenhagsvägen 10;57012;LANDSBRO;57473;LANDSBRO
Inlängan 204;37042;TORHAMN;37371;TORHAMN
Kalvhaga 203;82064;NÄSVIKEN;82466;NÄSVIKEN
Korsvägen 2;86035;SÖRÅKER;86152;SÖRÅKER
Källhult 1;34032;GRIMSLÖV;34255;GRIMSLÖV
Alfreds väg 3;66060;MOLKOM;65597;MOLKOM
Silje 126;85590;SUNDSVALL;85591;SUNDSVALL
Dammvägen 1;82020;LJUSNE;82676;LJUSNE
Möbelvägen 6;28020;BJÄRNUM;28262;BJÄRNUM
Kräbbleboda 1225;28072;KILLEBERG;28396;KILLEBERG
Krigsbyn 542;86035;SÖRÅKER;86195;SÖRÅKER
Finneby 20;82046;RAMSJÖ;82776;RAMSJÖ
Hälsingenybo Eklundsvägen 2;82046;RAMSJÖ;82775;RAMSJÖ
Storängsvägen 6;66040;SEGMON;66496;SEGMON
Norra Slagesnäsvägen 308;29062;VILSHULT;29395;VILSHULT
Limvägen 32;82022;SANDARNE;82673;SANDARNE
Kursvägen 5;57015;HOLSBYBRUNN;57453;HOLSBYBRUNN
Åsbergsvägen 13;81040;HEDESUNDA;81895;HEDESUNDA
Tranåsvägen 9;27031;ÄSPERÖD;27576;ÄSPERÖD
Vingavägen 9M;35263;VÄXJÖ;35265;VÄXJÖ
Frejavägen 29;82065;FORSA;82460;FORSA
Årskogen 837;82077;GNARP;82962;GNARP
Mo 1;36024;LINNERYD;35574;VÄRENDS NÖBBELE
Rullbo Svartåvallsvägen 4;82050;LOS;82770;LOS
Åsundatorp 710;66050;VÅLBERG;66494;VÅLBERG
Norrvägen 10;82065;FORSA;82460;FORSA
Soluddsstigen 52;18592;VAXHOLM;13492;TYNNINGÖ
Sillre 103;86041;LIDEN;85599;LIDEN
Alavägen 22C;82020;LJUSNE;82675;LJUSNE
Majeldsvägen 32;66050;VÅLBERG;66450;VÅLBERG
Västanå 115;86041;LIDEN;85599;LIDEN
Träkolsvägen 4;36043;ÅRYD;35575;ÅRYD
Gammels väg 11B;31138;FALKENBERG;31178;FALKENBERG
Röshultsvägen 228-6;29060;KYRKHULT;29394;KYRKHULT
Östra Infarten 3;36053;SKRUV;36594;SKRUV
Storgatan 83;28072;KILLEBERG;28376;KILLEBERG
Överbyn 65;82064;NÄSVIKEN;82466;NÄSVIKEN
Bleka 216;83021;TANDSBYN;83499;TANDSBYN
Vedlastarvägen 11;86035;SÖRÅKER;86194;SÖRÅKER
Björnholm 8980;28040;SKÅNES FAGERHULT;28673;SKÅNES FAGERHULT
Österängsvägen 28;57010;KORSBERGA;57475;KORSBERGA
Lejonvägen 4;86030;SÖRBERGE;86143;SÖRBERGE
Tynningösundsvägen 113;18592;VAXHOLM;13492;TYNNINGÖ
Inlandsvägen Mollika 7;82050;LOS;82770;LOS
Sagagränden 3A;52011;VEGBY;52362;VEGBY
Hägghult 713;28070;LÖNSBODA;28393;LÖNSBODA
Esshulta Solgläntan 1;54066;SJÖTORP;54772;OTTERBÄCKEN
Nedre bölegatan 22A;82023;BERGVIK;82668;BERGVIK
Brändaskärsvägen 8;37042;TORHAMN;37371;TORHAMN
Nygårdsvägen 3A;83021;TANDSBYN;83499;TANDSBYN
Lönnånger 216;82075;HARMÅNGER;82995;HARMÅNGER
Mellangatan 8;57015;HOLSBYBRUNN;57453;HOLSBYBRUNN
Sällerås 7075;28040;SKÅNES FAGERHULT;28673;SKÅNES FAGERHULT
Hedvigsfors 508;82062;BJURÅKER;82479;BJURÅKER
Fullerö brygga 28;72591;VÄSTERÅS;72590;VÄSTERÅS
Fjordhästvägen 2;28023;HÄSTVEDA;28275;HÄSTVEDA
Rönäsudd 58;77071;STJÄRNSUND;77674;STJÄRNSUND
Hogland 136;82071;ILSBO;82991;ILSBO
Sörviksta 234;82065;FORSA;82462;FORSA
Sörgårdsvägen 13;93072;ADAK;93992;ADAK
Brödlösa 103;86025;KOVLAND;85561;KOVLAND
Olofströmsvägen 23;29060;KYRKHULT;29374;KYRKHULT
Gamla Bergvägen 2;37033;TVING;37339;TVING
Ämnebyn 1;66010;DALS LÅNGED;66694;DALS LÅNGED
Lönnvägen 3;28072;KILLEBERG;28376;KILLEBERG
Kättingvägen 7;82020;LJUSNE;82675;LJUSNE
Sörby Pell-Persvägen 9;82040;JÄRVSÖ;82752;JÄRVSÖ
Järpvägen 9;66050;VÅLBERG;66494;VÅLBERG
Krösnabanan 84;37033;TVING;37340;TVING
Parkvägen 6;28023;HÄSTVEDA;28274;HÄSTVEDA
Lilla Bitsås 1;57015;HOLSBYBRUNN;57454;HOLSBYBRUNN
Askvägen 3;82021;VALLVIK;82679;VALLVIK
Långrörsgatan 8;82022;SANDARNE;82672;SANDARNE
Kultebo 566;82020;LJUSNE;82677;LJUSNE
Lappvik 35;93010;LÖVÅNGER;93293;LÖVÅNGER
Oppsjö 203;82060;DELSBO;82472;DELSBO
Hans-Jonsvägen 18;82010;ARBRÅ;82161;ARBRÅ
Hånick 175;82075;HARMÅNGER;82995;HARMÅNGER
Myckeläng 311;86035;SÖRÅKER;86194;SÖRÅKER
Alvägen 2B;82070;BERGSJÖ;82950;BERGSJÖ
Rallarringen 44;35263;VÄXJÖ;35265;VÄXJÖ
Hemsjövägen 629-4;29060;KYRKHULT;29394;KYRKHULT
Kullas Losvägen 363;82041;FÄRILA;82763;FÄRILA
Karriolvägen 12;66060;MOLKOM;65561;MOLKOM
Skovelvägen 9;82020;LJUSNE;82676;LJUSNE
Gylsboda 2448;28070;LÖNSBODA;28394;LÖNSBODA
Ekeberga Karlsdal;36052;KOSTA;36543;KOSTA
Norromängsvägen 34;86013;STÖDE;86496;STÖDE
Frändatorpsvägen 18;37043;STURKÖ;37361;STURKÖ
Verumsvägen 33;28020;BJÄRNUM;28262;BJÄRNUM
Norra Mellby 1119;28010;SÖSDALA;28273;SÖSDALA
Skolgränd 5;82078;HASSELA;82998;HASSELA
Skomakarvägen 20B;81040;HEDESUNDA;81845;HEDESUNDA
Västergrängsjö 438;82077;GNARP;82961;GNARP
Norrhultsvägen 44D;36071;NORRHULT;36444;NORRHULT
Ulla Linders väg 7;57003;VRIGSTAD;57696;VRIGSTAD
Svarvarvägen 100;82020;LJUSNE;82675;LJUSNE
Sänningstjärn 68;82078;HASSELA;82998;HASSELA
Övre strömmen 120;83021;TANDSBYN;83499;TANDSBYN
Trossnäs 323;66052;EDSVALLA;66493;EDSVALLA
Korsberga Månstorp 1;57010;KORSBERGA;57476;KORSBERGA
Kåsjö Hybovägen 36;82040;JÄRVSÖ;82754;JÄRVSÖ
Burtorpsvägen 3;30230;HALMSTAD;30228;HALMSTAD
Näsumsvägen 168C;29038;VILLANDS VÅNGA;29198;VILLANDS VÅNGA
Strandavägen 121;38052;TIMMERNABBEN;38471;TIMMERNABBEN
Viken Minnet 12;66010;DALS LÅNGED;66695;DALS LÅNGED
Furumovägen 12;35249;VÄXJÖ;35272;VÄXJÖ
Stigby 36;56034;VISINGSÖ;56394;VISINGSÖ
Åsbo Hans-Ersvägen 35;82040;JÄRVSÖ;82753;JÄRVSÖ
Ede 167;86013;STÖDE;86496;STÖDE
Kalvhaga 512;82064;NÄSVIKEN;82466;NÄSVIKEN
Södra Alnaryd 313;37033;TVING;37340;TVING
Klastorpet 1;57010;KORSBERGA;57476;KORSBERGA
Rödmyra Lövavägen 4;82040;JÄRVSÖ;82753;JÄRVSÖ
Björkmo 112;82065;FORSA;82461;FORSA
Öjersbyn 301;66291;ÅMÅL;66292;ÅMÅL
Näs 412;66060;MOLKOM;65598;MOLKOM
Prästänge 2702;82011;VALLSTA;82168;VALLSTA
Kylle Ekbacken;36053;SKRUV;36594;SKRUV
